The	AT the AT-TL the
program	NN program VB program
but	CC but IN but
has	HVZ have
seen	VBN see
fit	JJ fit VB fit
distribute	VB distribute
through	IN through RP through
all	ABN all QL all
counties	NNS county
state	NN state VB state
with	IN with IN-HL with
exception	NN exception
receives	VBZ receive
none	PN none
money	NN money
jurors	NNS juror
they	PPSS they
realize	VB realize
proportionate	JJ proportionate
distribution	NN distribution
might	MD might NN might
disable	VB disable
our	PP$ our
less	QL less AP less RBR less
populous	JJ populous
Nevertheless	RB nevertheless
we	PPSS we
feel	VB feel NN feel
future	NN future JJ future NN-HL future
receive	VB receive
some	DTI some
portion	NN portion
available	JJ available
Failure	NN failure
do	DO do DO-HL do
will	MD will MD-HL will
continue	VB continue
disproportionate	JJ disproportionate
burden	NN burden
taxpayers	NNS taxpayer
ordinary's	NN$ ordinary 's
court	NN court NN-TL court
under	IN under RB under
fire	NN fire
its	PP$ its
appointment	NN appointment
appraisers	NNS appraiser
guardians	NNS guardian
administrators	NNS administrator
awarding	NN award
fees	NNS fee NNS-HL fee
compensation	NN compensation
Wards	NNS-HL ward
protected	VBN-HL protect
found	VBD find VBN find
incorporated	VBN incorporated
into	IN into IN-HL into
operating	VBG operate
procedures	NNS procedure
recommendations	NNS recommendation
previous	JJ previous
juries	NNS jury
Bar	NN-TL bar
Association	NN-TL association
interim	NN interim
citizens	NNS citizen
committee	NN committee
These	DTS these
actions	NNS action
serve	VB serve
protect	VB protect
fact	NN fact
effect	NN effect VB effect
court's	NN$ court 's
wards	NNS ward
from	IN from IN-HL from
undue	JJ undue
costs	NNS cost VBZ cost
appointed	VBN appoint VBD appoint
elected	VBN elect VBD elect VBN-HL elect
servants	NNS servant
unmeritorious	JJ unmeritorious
criticisms	NNS criticism
Regarding	IN regard
new	JJ new JJ-HL new
multi-million-dollar	JJ multi - million - dollar
airport	NN airport
when	WRB when
management	NN management
takes	VBZ take
Jan.	NP jan. NP-HL jan.
1	CD 1 CD-HL 1 CD-TL 1
eliminate	VB eliminate
political	JJ political
influences	NNS influence
not	* not *-HL not
elaborate	VB elaborate
added	VBD add VBN add VBN-HL add
there	EX there RB there RB-HL there
periodic	JJ periodic
surveillance	NN surveillance
pricing	VBG price
concessionaires	NNS concessionaire
purpose	NN purpose
keeping	VBG keep
prices	NNS price
reasonable	JJ reasonable
Ask	VB-HL ask
jail	NN-HL jail NN jail
deputies	NNS-HL deputy NNS deputy
On	IN on
matters	NNS matter
:	: : :-HL :
(	( ( (-HL (
)	) ) )-HL )
Four	CD four CD-HL four
additional	JJ additional
employed	VBN employ
Jail	NN-TL jail
doctor	NN doctor
medical	JJ medical
intern	NN intern
extern	NN extern
night	NN night
weekend	NN weekend
duty	NN duty
2	CD 2 CD-TL 2
work	VB work NN work
officials	NNS official
pass	VB pass NN pass
legislation	NN legislation
permit	VB permit NN permit
establishment	NN establishment
fair	JJ fair NN fair JJ-HL fair
equitable	JJ equitable
pension	NN pension
plan	NN plan VB plan NN-HL plan
employes	NNS employe
praised	VBD praise
operation	NN operation
Police	NNS-TL police NNS police NNS-HL police
Tax	NN-TL tax
Commissioner's	NN$-TL commissioner 's
Office	NN-TL office
Bellwood	NP bellwood
Alpharetta	NP alpharetta
prison	NN prison
farms	NNS farm
Grady	NP-TL grady NP grady
Hospital	NN-TL hospital NN hospital
Health	NN-TL health
Mayor	NN-TL mayor NN-TL-HL mayor
William	NP william NP-TL william
B.	NP b. NP-TL b.
Hartsfield	NP hartsfield
filed	VBD file VBN file
suit	NN suit
divorce	NN divorce VB divorce
his	PP$ his
wife	NN wife
Pearl	NP pearl
Williams	NP williams
His	PP$ his
petition	NN petition
mental	JJ mental
cruelty	NN cruelty
couple	NN couple
married	VBN marry
Aug.	NP aug.
1913	CD 1913
They	PPSS they
son	NN son NN-HL son
Berry	NP berry
daughter	NN daughter
Mrs.	NP mrs. NP-HL mrs.
J.	NP j. NP-TL j.
M.	NP m.
Cheshire	NP cheshire
Griffin	NP griffin
Attorneys	NNS attorney
mayor	NN mayor
amicable	JJ amicable
property	NN property
settlement	NN settlement
agreed	VBN agree VBD agree
upon	RB upon IN upon
listed	VBD list VBN list
mayor's	NN$ mayor 's
occupation	NN occupation
attorney	NN attorney
age	NN age
71	CD 71
wife's	NN$ wife 's
74	CD 74
birth	NN birth
Opelika	NP opelika
Ala.	NP ala. NP-HL ala.
lived	VBN live VBD live
together	RB together
man	NN man
more	AP more QL more RBR more
than	IN than CS than
year	NN year NN-HL year
home	NR home NN home NN-HL home NR-HL home
637	CD 637
E.	NP e. NP-HL e. JJ-TL e.
Pelham	NP pelham
Rd.	NN-TL rd .
Aj	NN aj
Henry	NP henry
L.	NP l.
Bowden	NP bowden
brief	JJ brief
interlude	NN interlude
since	IN since CS since
1937	CD 1937
career	NN career
goes	VBZ go
back	RB back VB back NN back RB-HL back
council	NN council
1923	CD 1923
present	JJ present RB present NN present
office	NN office
expires	VBZ expire
He	PPS he
succeeded	VBN succeed VBD succeed
who	WPS who
became	VBD become
candidate	NN candidate
Sept.	NP sept.
13	CD 13
after	CS after IN after
announced	VBD announce VBN announce
he	PPS he
would	MD would MD-HL would
run	VB run NN run VBN run
reelection	NN reelection
Georgia	NP georgia NP-TL georgia
Republicans	NPS republican NPS-HL republican
getting	VBG get
strong	JJ strong
encouragement	NN encouragement
enter	VB enter
1962	CD 1962
governor's	NN$ governor 's
race	NN race
top	JJS top NN top VB top
official	NN official JJ official
Wednesday	NR wednesday
Robert	NP robert
Snodgrass	NP snodgrass
GOP	NN gop NN-HL gop
chairman	NN chairman
meeting	NN meet VBG meet
held	VBN hold VBD hold VBN-HL hold
Tuesday	NR tuesday
Blue	JJ-TL blue JJ blue
Ridge	NN-TL ridge
brought	VBD bring VBN bring
enthusiastic	JJ enthusiastic
responses	NNS response
audience	NN audience
Party	NN-TL party NN party
Chairman	NN-TL chairman
James	NP james NP-TL james
W.	NP w. NP-HL w.
Dorsey	NP dorsey
enthusiasm	NN enthusiasm
picking	VBG pick
up	RP up RP-HL up IN up
rally	NN rally
8	CD 8 CD-TL 8
Savannah	NP savannah
newly	RB newly JJ newly
Texas	NP texas NP-HL texas NP-TL texas
Sen.	NN-TL sen.
John	NP john NP-HL john NP-TL john
Tower	NP tower
featured	VBN feature
speaker	NN speaker
In	IN in
warned	VBN warn VBD warn
entering	VBG enter
governor	NN governor
force	VB force NN force
petitions	NNS petition VBZ petition
out	RP out IN out PP$ out RP-HL out
voting	VBG vote
precincts	NNS precinct
obtain	VB obtain
signatures	NNS signature
registered	VBN register
Despite	IN despite
warning	VBG warn NN warn
unanimous	JJ unanimous
vote	NN vote VB vote
according	IN accord
attended	VBD attend VBN attend
When	WRB when
crowd	NN crowd
asked	VBN ask VBD ask VBN-HL ask
whether	CS whether
wanted	VBD want VBN want
wait	VB wait NN wait
make	VB make
voted	VBD vote
--	-- --
were	BED be
dissents	NNS dissent
largest	JJT large
hurdle	NN hurdle
face	VB face NN face
says	VBZ say
before	CS before IN before RB before
making	VBG make NN make
first	OD first RB first OD-HL first
alternative	JJ alternative NN alternative
courses	NNS course
must	MD must NN must
taken	VBN take
Five	CD five CD-HL five
per	IN per
cent	NN cent
each	DT each
county	NN county NN-TL county
sign	VB sign NN sign
requesting	VBG request
allowed	VBN allow VBD allow
names	NNS name
candidates	NNS candidate
ballot	NN ballot
hold	VB hold
unit	NN unit
system	NN system
party	NN party NN-HL party
opposes	VBZ oppose
platform	NN platform
Sam	NP sam
Caldwell	NP caldwell
Highway	NN-TL highway
public	JJ public NN public
relations	NNS relation NNS-HL relation
director	NN director
resigned	VBD resign
Lt.	NN-TL lt .
Gov.	NN-TL gov.
Garland	NP garland
Byrd's	NP$ byrd 's
campaign	NN campaign VB campaign
Caldwell's	NP$ caldwell 's
resignation	NN resignation
expected	VBN expect VBN-HL expect VBD expect
time	NN time
Rob	NP rob
Ledford	NP ledford
Gainesville	NP gainesville
assistant	NN assistant JJ assistant
three	CD three CD-HL three
years	NNS year NNS-HL year
gubernatorial	JJ gubernatorial
starts	VBZ start NNS start
become	VB become VBN become
coordinator	NN coordinator
Byrd	NP byrd
wind	VB wind NN wind
1961	CD 1961
session	NN session
Monday	NR monday
head	VB head NN head JJS head
where	WRB where
highway	NN highway
bond	NN bond
approved	VBD approve VBN approve
shortly	RB shortly
Before	IN before CS before
adjournment	NN adjournment
afternoon	NN afternoon
Senate	NN-TL senate
approve	VB approve
study	NN study VB study
allotted	VBN allot VBD allot
rural	JJ rural
urban	JJ urban
areas	NNS area
determine	VB determine
what	WDT what
adjustments	NNS adjustment
made	VBN make VBD make VBN-HL make
Vandiver	NP vandiver
traditional	JJ traditional
visit	NN visit VB visit
chambers	NNS chamber
toward	IN toward
likely	RB likely JJ likely
mention	VB mention
$100	NNS $ 100
million	CD million
issue	NN issue VB issue NN-HL issue
earlier	RBR early JJR early
priority	NN priority
item	NN item
Construction	NN-HL construction NN construction
bonds	NNS-HL bond NNS bond
Meanwhile	RB meanwhile
learned	VBN learn VBD learn
very	QL very AP very
near	RB near RB-HL near JJ near IN near
being	BEG be
ready	JJ ready
$30	NNS $ 30
worth	NN worth JJ worth
reconstruction	NN reconstruction
go	VB go NN go
courts	NNS court
friendly	JJ friendly
test	NN test VB test
validity	NN validity
then	RB then
sales	NNS sale
begin	VB begin
contracts	NNS contract VBZ contract
let	VBN let VB let
repair	NN repair
most	QL most AP most RBT most
heavily	RB heavily QL heavily
traveled	VBN travel VBD travel
highways	NNS highway
A	AT a AT-HL a NN a AT-TL a
source	NN source
$3	NNS $ 3
$4	NNS $ 4
Rural	JJ-TL rural
Roads	NNS-TL road
Authority	NN-TL authority
road	NN road
construction	NN construction
revolving	VBG-HL revolve VBG revolve
fund	NN-HL fund NN fund
department	NN department
apparently	RB apparently
intends	VBZ intend
issued	VBN issue VBD issue
every	AT every
old	JJ old
ones	NNS one
paid	VBN pay VBD pay
off	RP off IN off RP-HL off
tax	NN tax VB tax
authorities	NNS authority
opened	VBD open VBN open
1958	CD 1958
battle	NN battle
against	IN against
issuance	NN issuance
$50	NNS $ 50
roads	NNS road
Marvin	NP marvin
told	VBD tell VBN tell
Constitution	NN-TL constitution
however	WRB however
consulted	VBN consult
yet	RB yet
about	IN about RB about RP about
plans	NNS plan NNS-HL plan VBZ plan
Schley	NP schley
Rep.	NN-TL rep.
D.	NP d.
offer	VB offer
resolution	NN resolution
House	NN-TL house NP-TL-HL house NP house
rescind	VB rescind
body's	NN$ body 's
action	NN action
itself	PPL itself
$10	NNS $ 10
day	NN day
increase	NN increase VB increase VB-HL increase
expense	NN expense
allowances	NNS allowance
Sunday	NR sunday
research	NN research NN-HL research
done	VBN do
quickie	NN quickie
can	MD can
repealed	VBN repeal
outright	RB outright JJ outright
notice	NN notice VB notice
given	VBN give
reconsideration	NN reconsideration
sought	VBN seek VBD seek VBN-HL seek
While	CS while
emphasizing	VBG emphasize
technical	JJ technical
details	NNS detail
fully	RB fully
worked	VBN work VBD work
seek	VB seek
set	VB set VBN set VBD set VBN-HL set NN set
aside	RB aside
privilege	NN privilege
87-31	CD 87 - 31
similar	JJ similar
passed	VBD pass VBN pass
29-5	CD 29 - 5
As	IN as CS as QL as
word	NN word
offered	VBN offer VBD offer
pointed	VBD point
last	AP last VB last NN last
November	NP november
rejected	VBD reject VBN reject
constitutional	JJ constitutional
amendment	NN amendment
allow	VB allow
pay	NN pay VB pay VB-HL pay
raises	NNS raise
sessions	NNS session
veteran	JJ veteran NN veteran
Jackson	NP-TL jackson NP jackson NP-HL jackson
legislator	NN legislator
ask	VB ask
aid	NN aid VB aid
education	NN education
something	PN something
consistently	RB consistently
opposed	VBN oppose VBD oppose
past	NN past JJ past AP past IN past
Mac	NP mac
Barber	NP barber NN-HL barber
Commerce	NN-TL commerce
asking	VBG ask
endorse	VB endorse
increased	VBN increase VBD increase
support	NN support VB support NN-HL support
provided	VBN provide
expended	VBN expend
13th	OD 13th
members	NNS member
congressional	JJ congressional
delegation	NN delegation
Washington	NP washington NP-HL washington NP-TL washington
like	VB like CS like IN like JJ like
see	VB see
But	CC but
congressmen	NNS congressman
specifically	RB specifically
him	PPO he
tossed	VBD toss
hopper	NN hopper
formally	RB formally
read	VBN read VBD read
event	NN event
Congress	NP congress
does	DOZ do
Board	NN-TL board NN board NN-HL board
Education	NN-TL education
directed	VBN direct VBD direct
give	VB give
teacher	NN teacher
Colquitt	NP-HL colquitt NP-TL colquitt
After	IN after CS after
long	JJ long RB long
hot	JJ hot
controversy	NN controversy
Miller	NP-TL miller
school	NN school
superintendent	NN superintendent
policeman	NN policeman
put	VBD put VB put VBN put
coolest	JJT cool
I	PPSS i NN i
ever	RB ever
saw	VBD see VB see
Harry	NP harry
Davis	NP davis
agriculture	NN agriculture
defeated	VBD defeat VBN defeat
Felix	NP felix
Bush	NP bush
principal	NN principal JJS principal
Democratic	JJ-TL democratic JJ democratic
1,119	CD 1,119
votes	NNS vote VBZ vote
Saturday's	NR$ saturday 's
got	VBD get VBN get
402	CD 402
Ordinary	NN-TL ordinary
Carey	NP carey NP-HL carey
armed	VBN armed
pistol	NN pistol
stood	VBD stand
polls	NNS poll
insure	VB insure
order	NN order VB order
calmest	JJT calm
Policeman	NN-TL policeman
Tom	NP tom
Being	BEG be
just	RB just JJ just QL just
church	NN church NN-HL church
didn't	DOD* do n't
smell	VB smell
drop	NN drop VB drop
liquor	NN liquor
bit	NN bit
trouble	NN trouble
leading	VBG lead
quiet	JJ quiet
marked	VBN mark
anonymous	JJ anonymous
midnight	NN midnight
phone	NN phone
calls	NNS call VBZ call VBZ-HL call
veiled	VBN veiled
threats	NNS threat
violence	NN violence
former	AP former
George	NP george
P.	NP p.
Callan	NP callan
shot	VBD shoot NN shoot VBN shoot
himself	PPL himself
death	NN death
March	NP march NP-HL march NN-TL march
18	CD 18 CD-HL 18
four	CD four
days	NNS day NNS-HL day
post	NN post VB post
dispute	NN dispute
board	NN board
During	IN during
reportedly	RB reportedly
telephone	NN telephone
too	RB too QL too
subjected	VBN subject
soon	RB soon
scheduled	VBD schedule VBN schedule
Many	AP many AP-HL many
local	JJ local NN local
feared	VBD fear
carry	VB carry
gun	NN gun
promised	VBD promise
Sheriff	NN-TL sheriff
Tabb	NP tabb
ordinary	NN ordinary JJ ordinary
good	JJ good NN good RB good JJ-HL good
promise	NN promise
Everything	PN everything
went	VBD go
real	QL real JJ real
smooth	JJ smooth
sheriff	NN sheriff
There	EX there RB there
wasn't	BEDZ* be n't
Austin	NP-HL austin NP austin
approval	NN approval
Price	NP price NN price
Daniel's	NP$ daniel 's
abandoned	VBN abandon VBD abandon
seemed	VBD seem
certain	JJ certain
Thursday	NR thursday
despite	IN despite
adamant	JJ adamant
protests	NNS protest
bankers	NNS banker
Daniel	NP daniel
personally	RB personally
led	VBD lead VBN lead
fight	NN fight NN-HL fight
measure	NN measure
watered	VBN water
down	RP down IN down RP-HL down
considerably	RB considerably
rejection	NN rejection
Legislatures	NNS-TL legislature
hearing	NN hear NN-HL hear VBG hear
Revenue	NN-TL revenue NN-HL revenue
Taxation	NN-TL taxation
Under	IN under JJ-TL under
rules	NNS rule NNS-HL rule
automatically	RB automatically
subcommittee	NN subcommittee
week	NN week NN-HL week
questions	NNS question
taunted	VBD taunt
appearing	VBG appear
witnesses	NNS witness
left	VBD leave VBN leave JJ leave NR leave
little	AP little JJ little QL little
doubt	NN doubt NN-HL doubt
recommend	VB recommend
passage	NN passage
termed	VBD term VBN term VBN-HL term
extremely	RB extremely
conservative	JJ conservative
estimate	NN estimate VB estimate
produce	VB produce
17	CD 17 CD-HL 17
dollars	NNS dollar
help	VB help NN help NN-HL help VB-HL help
erase	VB erase
anticipated	VBN anticipate
deficit	NN deficit
63	CD 63
current	JJ current
fiscal	JJ fiscal
31	CD 31
merely	RB merely QL merely
means	NNS mean VBZ mean
enforcing	VBG enforce
escheat	NN escheat
books	NNS book
republic	NN republic
permits	VBZ permit NNS permit
over	RP over IN over IN-HL over
bank	NN bank
accounts	NNS account
stocks	NNS stock NNS-HL stock
personal	JJ personal
persons	NNS person
missing	VBG miss
seven	CD seven CD-HL seven
bill	NN bill
drafted	VBD draft
banks	NNS bank
insurance	NN insurance
firms	NNS firm
pipeline	NN pipeline
companies	NNS company
corporations	NNS corporation
report	VB report NN report VB-HL report
treasurer	NN treasurer
cannot	MD* can not
enforced	VBN enforce
now	RB now
because	CS because RB because
almost	RB almost QL almost
impossible	JJ impossible
locate	VB locate
declared	VBD declare VBN declare
Dewey	NP dewey
Lawrence	NP lawrence NP-TL lawrence
Tyler	NP tyler
lawyer	NN lawyer
representing	VBG represent
Bankers	NNS-TL banker
sounded	VBD sound
opposition	NN opposition
keynote	NN keynote VB keynote
violate	VB violate
their	PP$ their
contractual	JJ contractual
obligations	NNS obligation
depositors	NNS depositor
undermine	VB undermine
confidence	NN confidence
customers	NNS customer
If	CS if
you	PPSS you PPO you
destroy	VB destroy
economy	NN economy
You	PPSS you
circulation	NN circulation
millions	NNS million
Charles	NP charles NP-TL charles
Hughes	NP hughes NP-TL hughes
Sherman	NP sherman NP-TL sherman
sponsor	NN sponsor VB sponsor
failure	NN failure
enact	VB enact
amount	VB amount NN amount
gift	NN gift
taxpayers'	NNS$ taxpayer '
pockets	NNS pocket
contention	NN contention
denied	VBN deny VBD deny
several	AP several
including	IN include
Scott	NP scott
Hudson	NP hudson
Gaynor	NP gaynor
Jones	NP jones NP-HL jones NP-TL jones
Houston	NP houston
Brady	NP brady
Harlingen	NP harlingen
Howard	NP howard
Cox	NP cox
argued	VBD argue
probably	RB probably
unconstitutional	JJ unconstitutional
impair	VB impair
complained	VBD complain
enough	AP enough AP-HL enough QLP enough
introduced	VBN introduce VBD introduce
only	RB only AP only JJ only
Senators	NNS senator
unanimously	RB unanimously
Parkhouse	NP parkhouse
Dallas	NP dallas NP-TL dallas NP-HL dallas
authorizing	VBG authorize
schools	NNS school NNS-HL school
deaf	JJ deaf
designed	VBN design
special	JJ special JJ-HL special
schooling	NN school VBG school
students	NNS student
scholastic	JJ scholastic
reduced	VBN reduce VBD reduce
debate	NN debate
authorize	VB authorize
Agency	NN-TL agency
establish	VB establish
county-wide	JJ county - wide
300,000	CD 300,000
population	NN population
require	VB require
children	NNS child
between	IN between
6	CD 6
attend	VB attend VB-HL attend
permitting	VBG permit
older	JJR old
residential	JJ residential
School	NN-TL school
Deaf	JJ-TL deaf
here	RB here RB-HL here
Operating	VBG operate
budget	NN budget
five	CD five CD-HL five
Harris	NP harris NP-TL harris NP-HL harris
Bexar	NP bexar
Tarrant	NP tarrant
El	NP el
Paso	NP paso
$451,500	NNS $ 451,500
savings	NNS saving
$157,460	NNS $ 157,460
yearly	RB yearly
year's	NN$ year 's
capital	NN capital
outlay	NN outlay
$88,000	NNS $ 88,000
absorbed	VBN absorb
TEA	NN tea
estimated	VBD estimate VBN-HL estimate VBN estimate
182	CD 182
scholastics	NNS scholastic
saving	VBG save
coming	VBG come
live	VB live JJ live
get	VB get
hear	VB hear
horse	NN horse
parimutuels	NNS parimutuel
Reps.	NNS-TL reps .
V.	NP v.
Red	NP red JJ-TL red NN-TL red
Joe	NP joe
Ratcliff	NP ratcliff
still	RB still
expects	VBZ expect
tell	VB tell
folks	NNS folk
why	WRB why
thinks	VBZ think
Berry's	NP$ berry 's
We're	PPSS+BER we be
'	' '
pro	JJ pro NN pro
letters	NNS letter
con	JJ con
betting	NN bet VBG bet
believe	VB believe
if	CS if
people	NNS people
better	RBR well VB well JJR well
informed	VBN inform VBD inform
question	NN question VB question
oppose	VB oppose
I'm	PPSS+BEM i be
willing	JJ willing
stake	VB stake
my	PP$ my
ex-gambler	NN ex - gambler
San	NP san NP-HL san
Antonio	NP antonio
advocacy	NN advocacy
ponies	NNS pony
heard	VBD hear VBN hear
option	NN option
proposal	NN proposal NN-HL proposal
favorable	JJ favorable
although	CS although
faces	VBZ face NNS face
hard	JJ hard RB hard
sledding	NN sled
later	RBR later JJR later
house	NN house NN-HL house
finally	RB finally
sent	VBD send VBN send
extending	VBG extend
authority	NN authority
planning	VBG plan NN plan
cities	NNS city
senate	NN senate
quickly	RB quickly
whipped	VBD whip
meager	JJ meager
fare	NN fare
bills	NNS bill
committees	NNS committee
passing	VBG pass
calendar	NN calendar
One	CD one CD-TL one PN one
validated	VBD validate
acts	NNS act
districts	NNS district
Another	DT another
enlarged	VBD enlarge
Beaumont	NP-TL beaumont NP beaumont
Navigation	NN-TL navigation
District	NN-TL district
third	OD third RB third
amended	VBD amend
creation	NN creation
Lamar	NP-TL lamar NP lamar
previously	RB previously
adopted	VBN adopt VBN-HL adopt
Without	IN without
dissent	NN dissent
senators	NNS senator
A.	NP a.
R.	NP r. NP-HL r.
Schwartz	NP schwartz
Galveston	NP galveston
mentally	RB mentally
retarded	VBN retarded
Gulf	NN-TL gulf
Coast	NN-TL coast
district	NN district
Money	NN money
meantime	NN meantime
accept	VB accept
gifts	NNS gift
donations	NNS donation
site	NN site
Two	CD two CD-HL two
revision	NN revision
Louis	NP louis NP-TL louis
Crump	NP crump
Saba	NP saba
17,000	CD 17,000
retailers	NNS retailer
group	NN group
miscellaneous	JJ miscellaneous
excise	NN excise
taxes	NNS taxis
eliminating	VBG eliminate
requirement	NN requirement
return	NN return VB return
notarized	VBN notarize
Instead	RB instead
certificate	NN certificate
correctness	NN correctness
violation	NN violation
penalty	NN penalty
plus	CC plus
$1,000	NNS $ 1,000
fine	NN fine JJ fine
series	NN series
Research	NN-TL research NN research
League	NN-TL league
Aikin	NP aikin
Paris	NP paris NP-HL paris NP-TL paris
relieve	VB relieve
estate	NN estate
brokers	NNS broker
own	JJ own VB own
annual	JJ annual
licensing	VBG license
fee	NN fee
$12	NNS $ 12
license	NN license VB license
Natural	JJ natural
gas	NN gas VB gas
utility	NN utility
right	NN right JJ right RB right QL right
eminent	JJ eminent
domain	NN domain
Frank	NP frank
Owen	NP owen
3	CD-TL 3 CD 3 CD-HL 3 OD 3 OD-TL 3
acquire	VB acquire
sites	NNS site
underground	JJ underground RB underground
storage	NN storage
reservoirs	NNS reservoir
Marshall	NP marshall
Formby	NP formby
Plainview	NP plainview
Commission	NN-TL commission
suggested	VBD suggest
fill	VB fill
vacancies	NNS vacancy
need	NN need VB need
costly	JJ costly
elections	NNS election
Formby's	NP$ formby 's
appointee	NN appointee
selected	VBN select VBD select
composed	VBN compose
lieutenant	NN lieutenant
chief	JJS chief NN chief
justice	NN justice
Supreme	JJ-TL supreme
representatives	NNS representative
decided	VBD decide VBN decide
taking	VBG take
poll	NN poll
kind	NN kind
Texans	NPS texans
prefer	VB prefer
An	AT an
adverse	JJ adverse
81	CD 81
65	CD 65
kept	VBD keep VBN keep VBD-HL keep
Affairs	NNS-TL affair
referendum	NN referendum
April	NP april NP-HL april
4	CD 4
U.S.	NP u.s. NP-TL u.s. NP-HL u.s.
senator	NN senator
Wesley	NP wesley
Roberts	NP roberts
Seminole	NP seminole
idea	NN idea
delay	NN delay
kill	VB kill
West	JJ-TL west NR-TL west
Texan	NP-TL texan
reported	VBD report VBN report VBN-HL report
gotten	VBN get
Bill	NP bill
Hollowell	NP hollowell
Feb.	NP feb. NP-HL feb.
22	CD 22
final	JJ final
legislative	JJ legislative
two-thirds	NNS two - third NN two - third
majorities	NNS majority
printed	VBN print
Opponents	NNS opponent
couldn't	MD* could n't
information	NN information
proposals	NNS proposal
